input,R,G,B
0.000000000000000000e+00,1.732690000000000055e-03,3.173561409999999666e-02,1.863401469999999976e-02
3.906250000000000000e-03,3.414021500000000327e-03,3.577893741249999621e-02,2.199404364999999612e-02
7.812500000000000000e-03,5.095353000000000382e-03,3.982226072499998881e-02,2.535407259999999594e-02
1.171875000000000000e-02,6.776684499999996100e-03,4.386558403749999530e-02,2.871410154999999575e-02
1.562500000000000000e-02,8.458015999999998757e-03,4.790890734999999484e-02,3.207413049999999904e-02
1.953125000000000000e-02,1.013934749999999968e-02,5.195223066249999438e-02,3.543415944999999539e-02
2.343750000000000000e-02,1.182067899999999713e-02,5.599555397500000087e-02,3.879418839999999868e-02
2.734375000000000000e-02,1.350201050000000326e-02,6.003887728750000041e-02,4.215421734999999503e-02
3.125000000000000000e-02,1.518334200000000071e-02,6.408220059999999996e-02,4.551424629999999832e-02
3.515625000000000000e-02,1.799966261250000171e-02,6.779490581250000036e-02,4.917015511250000248e-02
3.906250000000000000e-02,2.081598322499999751e-02,7.150761102500000077e-02,5.282606392499999276e-02
4.296875000000000000e-02,2.363230383749999330e-02,7.522031623750000118e-02,5.648197273749999692e-02
4.687500000000000000e-02,2.644862444999999604e-02,7.893302145000000158e-02,6.013788154999999414e-02
5.078125000000000000e-02,2.926494506249999877e-02,8.264572666250000199e-02,6.379379036249999135e-02
5.468750000000000000e-02,3.208126567499999804e-02,8.635843187500000240e-02,6.744969917500000245e-02
5.859375000000000000e-02,3.489758628749999730e-02,9.007113708750000280e-02,7.110560798749998579e-02
6.250000000000000000e-02,3.771390689999999657e-02,9.378384230000000321e-02,7.476151679999999689e-02
6.640625000000000000e-02,4.257185621249999496e-02,9.713029575000001192e-02,7.861811474999999549e-02
7.031250000000000000e-02,4.742980552500000030e-02,1.004767491999999929e-01,8.247471270000000798e-02
7.421875000000000000e-02,5.228775483749999176e-02,1.038232026500000016e-01,8.633131064999999271e-02
7.812500000000000000e-02,5.714570414999999709e-02,1.071696560999999964e-01,9.018790859999999132e-02
8.203125000000000000e-02,6.200365346250000242e-02,1.105161095500000051e-01,9.404450655000000381e-02
8.593750000000000000e-02,6.686160277500000082e-02,1.138625630000000000e-01,9.790110450000000242e-02
8.984375000000000000e-02,7.171955208749999922e-02,1.172090164499999948e-01,1.017577024500000010e-01
9.375000000000000000e-02,7.657750139999999761e-02,1.205554699000000035e-01,1.056143003999999996e-01
9.765625000000000000e-02,8.051368899999998552e-02,1.241099963750000035e-01,1.092799328999999875e-01
1.015625000000000000e-01,8.444987660000000118e-02,1.276645228500000173e-01,1.129455654000000031e-01
1.054687500000000000e-01,8.838606419999998909e-02,1.312190493250000034e-01,1.166111979000000187e-01
1.093750000000000000e-01,9.232225180000000475e-02,1.347735757999999895e-01,1.202768304000000066e-01
1.132812500000000000e-01,9.625843940000000654e-02,1.383281022749999756e-01,1.239424628999999944e-01
1.171875000000000000e-01,1.001946269999999944e-01,1.418826287499999894e-01,1.276080954000000101e-01
1.210937500000000000e-01,1.041308146000000101e-01,1.454371552250000033e-01,1.312737279000000257e-01
1.250000000000000000e-01,1.080670021999999980e-01,1.489916816999999893e-01,1.349393604000000135e-01
1.289062500000000000e-01,1.120850870500000040e-01,1.525311928749999990e-01,1.386102065000000272e-01
1.328125000000000000e-01,1.161031718999999962e-01,1.560707040500000087e-01,1.422810526000000131e-01
1.367187500000000000e-01,1.201212567500000161e-01,1.596102152249999906e-01,1.459518987000000267e-01
1.406250000000000000e-01,1.241393416000000083e-01,1.631497263999999725e-01,1.496227448000000404e-01
1.445312500000000000e-01,1.281574264500000004e-01,1.666892375750000099e-01,1.532935908999999985e-01
1.484375000000000000e-01,1.321755112999999926e-01,1.702287487499999918e-01,1.569644370000000122e-01
1.523437500000000000e-01,1.361935961500000125e-01,1.737682599250000015e-01,1.606352830999999981e-01
1.562500000000000000e-01,1.402116810000000047e-01,1.773077711000000112e-01,1.643061292000000118e-01
1.601562500000000000e-01,1.444532896500000108e-01,1.807980648249999933e-01,1.680333132625000114e-01
1.640625000000000000e-01,1.486948982999999891e-01,1.842883585500000310e-01,1.717604973249999833e-01
1.679687500000000000e-01,1.529365069499999952e-01,1.877786522749999853e-01,1.754876813875000108e-01
1.718750000000000000e-01,1.571781155999999735e-01,1.912689460000000230e-01,1.792148654500000104e-01
1.757812500000000000e-01,1.614197242500000073e-01,1.947592397250000051e-01,1.829420495125000101e-01
1.796875000000000000e-01,1.656613329000000134e-01,1.982495334500000150e-01,1.866692335750000376e-01
1.835937500000000000e-01,1.699029415499999918e-01,2.017398271749999972e-01,1.903964176375000095e-01
1.875000000000000000e-01,1.741445501999999979e-01,2.052301209000000071e-01,1.941236017000000091e-01
1.914062500000000000e-01,1.785351929125000014e-01,2.087073436999999920e-01,1.979091237749999732e-01
1.953125000000000000e-01,1.829258356249999773e-01,2.121845665000000047e-01,2.016946458500000205e-01
1.992187500000000000e-01,1.873164783375000086e-01,2.156617893000000175e-01,2.054801679250000124e-01
2.031250000000000000e-01,1.917071210500000122e-01,2.191390121000000302e-01,2.092656900000000042e-01
2.070312500000000000e-01,1.960977637624999881e-01,2.226162348999999874e-01,2.130512120749999960e-01
2.109375000000000000e-01,2.004884064749999917e-01,2.260934577000000001e-01,2.168367341499999879e-01
2.148437500000000000e-01,2.048790491874999953e-01,2.295706805000000128e-01,2.206222562250000352e-01
2.187500000000000000e-01,2.092696918999999989e-01,2.330479032999999978e-01,2.244077782999999993e-01
2.226562500000000000e-01,2.137324111749999700e-01,2.365553802874999778e-01,2.282521490499999917e-01
2.265625000000000000e-01,2.181951304499999966e-01,2.400628572749999856e-01,2.320965198000000118e-01
2.304687500000000000e-01,2.226578497249999955e-01,2.435703342624999657e-01,2.359408905500000042e-01
2.343750000000000000e-01,2.271205689999999944e-01,2.470778112499999735e-01,2.397852612999999966e-01
2.382812500000000000e-01,2.315832882749999933e-01,2.505852882374999813e-01,2.436296320500000168e-01
2.421875000000000000e-01,2.360460075499999921e-01,2.540927652249999613e-01,2.474740028000000092e-01
2.460937500000000000e-01,2.405087268250000188e-01,2.576002422124999969e-01,2.513183735500000293e-01
2.500000000000000000e-01,2.449714460999999899e-01,2.611077191999999769e-01,2.551627443000000217e-01
2.539062500000000000e-01,2.494321716250000043e-01,2.646927362624999502e-01,2.590659803750000045e-01
2.578125000000000000e-01,2.538928971500000187e-01,2.682777533249999791e-01,2.629692164499999874e-01
2.617187500000000000e-01,2.583536226750000608e-01,2.718627703875000079e-01,2.668724525249999702e-01
2.656250000000000000e-01,2.628143482000000475e-01,2.754477874499999812e-01,2.707756886000000085e-01
2.695312500000000000e-01,2.672750737249999231e-01,2.790328045124999545e-01,2.746789246750000468e-01
2.734375000000000000e-01,2.717357992499999653e-01,2.826178215749999834e-01,2.785821607499999741e-01
2.773437500000000000e-01,2.761965247750000074e-01,2.862028386375000122e-01,2.824853968250000125e-01
2.812500000000000000e-01,2.806572502999999941e-01,2.897878556999999855e-01,2.863886328999999953e-01
2.851562500000000000e-01,2.850494624250000109e-01,2.934976011249999517e-01,2.903512668625000126e-01
2.890625000000000000e-01,2.894416745500000276e-01,2.972073465499999179e-01,2.943139008249999744e-01
2.929687500000000000e-01,2.938338866749999889e-01,3.009170919749999951e-01,2.982765347874999917e-01
2.968750000000000000e-01,2.982260988000000612e-01,3.046268373999999612e-01,3.022391687500000090e-01
3.007812500000000000e-01,3.026183109250000225e-01,3.083365828249999829e-01,3.062018027125000263e-01
3.046875000000000000e-01,3.070105230499999838e-01,3.120463282500000046e-01,3.101644366750000437e-01
3.085937500000000000e-01,3.114027351750000006e-01,3.157560736750000263e-01,3.141270706375000055e-01
3.125000000000000000e-01,3.157949473000000173e-01,3.194658190999999925e-01,3.180897046000000228e-01
3.164062500000000000e-01,3.200645883750000698e-01,3.233428116625000071e-01,3.221138045125000460e-01
3.203125000000000000e-01,3.243342294500000111e-01,3.272198042250000216e-01,3.261379044250000137e-01
3.242187500000000000e-01,3.286038705250000636e-01,3.310967967875000362e-01,3.301620043375000368e-01
3.281250000000000000e-01,3.328735116000000049e-01,3.349737893499999952e-01,3.341861042500000045e-01
3.320312500000000000e-01,3.371431526749999463e-01,3.388507819124999543e-01,3.382102041624999722e-01
3.359375000000000000e-01,3.414127937499999987e-01,3.427277744749999688e-01,3.422343040749999954e-01
3.398437500000000000e-01,3.456824348249999401e-01,3.466047670374999834e-01,3.462584039874999631e-01
3.437500000000000000e-01,3.499520758999999925e-01,3.504817595999999980e-01,3.502825038999999863e-01
3.476562500000000000e-01,3.540863849625000004e-01,3.545498582000000121e-01,3.543755094624999602e-01
3.515625000000000000e-01,3.582206940249999527e-01,3.586179568000000262e-01,3.584685150249999896e-01
3.554687500000000000e-01,3.623550030874999606e-01,3.626860553999999848e-01,3.625615205875000191e-01
3.593750000000000000e-01,3.664893121499999129e-01,3.667541539999999989e-01,3.666545261499999930e-01
3.632812500000000000e-01,3.706236212125000318e-01,3.708222525999999575e-01,3.707475317124999670e-01
3.671875000000000000e-01,3.747579302750000396e-01,3.748903511999999716e-01,3.748405372749999964e-01
3.710937500000000000e-01,3.788922393374999920e-01,3.789584498000000412e-01,3.789335428375000259e-01
3.750000000000000000e-01,3.830265483999999998e-01,3.830265483999999998e-01,3.830265483999999998e-01
3.789062500000000000e-01,3.872218090374999755e-01,3.872218090374999755e-01,3.872218090375000310e-01
3.828125000000000000e-01,3.914170696750000622e-01,3.914170696750000067e-01,3.914170696749999512e-01
3.867187500000000000e-01,3.956123303124999824e-01,3.956123303125000379e-01,3.956123303124999824e-01
3.906250000000000000e-01,3.998075909499999581e-01,3.998075909500000136e-01,3.998075909499999581e-01
3.945312500000000000e-01,4.040028515875000448e-01,4.040028515874999893e-01,4.040028515875000448e-01
3.984375000000000000e-01,4.081981122250000205e-01,4.081981122250000205e-01,4.081981122250000760e-01
4.023437500000000000e-01,4.123933728625000517e-01,4.123933728625000517e-01,4.123933728624999961e-01
4.062500000000000000e-01,4.165886335000000273e-01,4.165886335000000273e-01,4.165886335000000273e-01
4.101562500000000000e-01,4.209027518250000321e-01,4.209027518250000321e-01,4.209027518250000321e-01
4.140625000000000000e-01,4.252168701499999814e-01,4.252168701500000925e-01,4.252168701500000370e-01
4.179687500000000000e-01,4.295309884750000418e-01,4.295309884750000418e-01,4.295309884750000418e-01
4.218750000000000000e-01,4.338451068000000466e-01,4.338451067999999911e-01,4.338451067999999911e-01
4.257812500000000000e-01,4.381592251249999959e-01,4.381592251249999959e-01,4.381592251249999959e-01
4.296875000000000000e-01,4.424733434500000007e-01,4.424733434499999452e-01,4.424733434500000007e-01
4.335937500000000000e-01,4.467874617750000055e-01,4.467874617750000055e-01,4.467874617750000055e-01
4.375000000000000000e-01,4.511015801000000103e-01,4.511015801000000103e-01,4.511015801000000103e-01
4.414062500000000000e-01,4.555449456750000348e-01,4.555449217000000495e-01,4.555448726249999858e-01
4.453125000000000000e-01,4.599883112500000037e-01,4.599882632999999776e-01,4.599881651499999613e-01
4.492187500000000000e-01,4.644316768249999727e-01,4.644316049000000168e-01,4.644314576749999923e-01
4.531250000000000000e-01,4.688750423999999972e-01,4.688749464999999450e-01,4.688747502000000233e-01
4.570312500000000000e-01,4.733184079750000217e-01,4.733182881000000397e-01,4.733180427249999989e-01
4.609375000000000000e-01,4.777617735499999907e-01,4.777616297000000234e-01,4.777613352500000299e-01
