input,R,G,B
0.000000000000000000e+00,8.443296499999999177e-03,2.240486159999999921e-02,7.051500920000000616e-02
3.906250000000000000e-03,1.011232276249999715e-02,2.532554683750000077e-02,7.407420038750001101e-02
7.812500000000000000e-03,1.178134902499999859e-02,2.824623207499999539e-02,7.763339157499998811e-02
1.171875000000000000e-02,1.345037528749999829e-02,3.116691731250000041e-02,8.119258276250000683e-02
1.562500000000000000e-02,1.511940155000000147e-02,3.408760254999999850e-02,8.475177394999999780e-02
1.953125000000000000e-02,1.678842781249999944e-02,3.700828778749999659e-02,8.831096513750000265e-02
2.343750000000000000e-02,1.845745407499999394e-02,3.992897302499999468e-02,9.187015632500000750e-02
2.734375000000000000e-02,2.012648033749999538e-02,4.284965826249999971e-02,9.542934751249999847e-02
3.125000000000000000e-02,2.179550660000000029e-02,4.577034349999999779e-02,9.898853870000000332e-02
3.515625000000000000e-02,2.422054975000000054e-02,4.879136055000000277e-02,1.022450908375000106e-01
3.906250000000000000e-02,2.664559290000000080e-02,5.181237760000000081e-02,1.055016429749999901e-01
4.296875000000000000e-02,2.907063605000000106e-02,5.483339464999999885e-02,1.087581951124999974e-01
4.687500000000000000e-02,3.149567920000000132e-02,5.785441169999999689e-02,1.120147472499999908e-01
5.078125000000000000e-02,3.392072235000000158e-02,6.087542875000000187e-02,1.152712993874999980e-01
5.468750000000000000e-02,3.634576550000000184e-02,6.389644579999999296e-02,1.185278515250000053e-01
5.859375000000000000e-02,3.877080865000000209e-02,6.691746284999999794e-02,1.217844036624999848e-01
6.250000000000000000e-02,4.119585180000000235e-02,6.993847990000000292e-02,1.250409557999999921e-01
6.640625000000000000e-02,4.410501955000000612e-02,7.306066138750000327e-02,1.283753492499999926e-01
7.031250000000000000e-02,4.701418730000000989e-02,7.618284287499998975e-02,1.317097426999999932e-01
7.421875000000000000e-02,4.992335504999999979e-02,7.930502436250000398e-02,1.350441361499999937e-01
7.812500000000000000e-02,5.283252280000000356e-02,8.242720585000001821e-02,1.383785295999999665e-01
8.203125000000000000e-02,5.574169055000000733e-02,8.554938733750000468e-02,1.417129230499999948e-01
8.593750000000000000e-02,5.865085829999999723e-02,8.867156882500000503e-02,1.450473164999999676e-01
8.984375000000000000e-02,6.156002604999999406e-02,9.179375031250000538e-02,1.483817099499999959e-01
9.375000000000000000e-02,6.446919380000000477e-02,9.491593180000000574e-02,1.517161033999999964e-01
9.765625000000000000e-02,6.770729676250000773e-02,9.810371332499999431e-02,1.547414922000000248e-01
1.015625000000000000e-01,7.094539972499999680e-02,1.012914948499999968e-01,1.577668809999999977e-01
1.054687500000000000e-01,7.418350268749999976e-02,1.044792763749999992e-01,1.607922697999999984e-01
1.093750000000000000e-01,7.742160565000000272e-02,1.076670579000000155e-01,1.638176586000000268e-01
1.132812500000000000e-01,8.065970861250000568e-02,1.108548394250000041e-01,1.668430473999999997e-01
1.171875000000000000e-01,8.389781157500000863e-02,1.140426209500000065e-01,1.698684362000000281e-01
