input,R,G,B
0.000000000000000000e+00,3.841558009999999912e-02,8.189285030000000021e-02,1.072140822999999993e-01
3.906250000000000000e-03,3.915194336250000379e-02,8.273371472499999046e-02,1.081268374249999970e-01
7.812500000000000000e-03,3.988830662500000152e-02,8.357457914999999460e-02,1.090395925499999946e-01
1.171875000000000000e-02,4.062466988749999924e-02,8.441544357499999873e-02,1.099523476750000062e-01
1.562500000000000000e-02,4.136103314999999003e-02,8.525630800000000287e-02,1.108651028000000038e-01
1.953125000000000000e-02,4.209739641250000858e-02,8.609717242500000700e-02,1.117778579249999876e-01
2.343750000000000000e-02,4.283375967499999937e-02,8.693803685000001114e-02,1.126906130499999992e-01
2.734375000000000000e-02,4.357012293749999710e-02,8.777890127500001527e-02,1.136033681749999968e-01
3.125000000000000000e-02,4.430648620000000176e-02,8.861976570000000553e-02,1.145161232999999945e-01
3.515625000000000000e-02,4.528002764999999874e-02,8.972345031250000824e-02,1.157090234999999939e-01
3.906250000000000000e-02,4.625356910000000266e-02,9.082713492500001096e-02,1.169019236999999933e-01
4.296875000000000000e-02,4.722711054999999963e-02,9.193081953750001367e-02,1.180948238999999927e-01
4.687500000000000000e-02,4.820065200000001049e-02,9.303450415000000251e-02,1.192877240999999922e-01
5.078125000000000000e-02,4.917419345000000053e-02,9.413818876249999135e-02,1.204806243000000054e-01
5.468750000000000000e-02,5.014773489999999057e-02,9.524187337499999406e-02,1.216735245000000049e-01
5.859375000000000000e-02,5.112127635000000836e-02,9.634555798749999678e-02,1.228664247000000043e-01
6.250000000000000000e-02,5.209481779999999840e-02,9.744924259999999949e-02,1.240593249000000037e-01
6.640625000000000000e-02,5.379396331249999830e-02,9.932704361250001279e-02,1.260635914875000152e-01
7.031250000000000000e-02,5.549310882499999820e-02,1.012048446249999845e-01,1.280678580749999851e-01
7.421875000000000000e-02,5.719225433749999810e-02,1.030826456374999978e-01,1.300721246624999827e-01
7.812500000000000000e-02,5.889139984999999800e-02,1.049604466499999972e-01,1.320763912499999804e-01
8.203125000000000000e-02,6.059054536249999789e-02,1.068382476624999966e-01,1.340806578375000058e-01
8.593750000000000000e-02,6.228969087499999779e-02,1.087160486750000099e-01,1.360849244250000034e-01
8.984375000000000000e-02,6.398883638749999769e-02,1.105938496874999816e-01,1.380891910125000011e-01
9.375000000000000000e-02,6.568798189999999759e-02,1.124716506999999949e-01,1.400934575999999987e-01
9.765625000000000000e-02,6.820091918750000037e-02,1.151176103749999846e-01,1.428474860124999968e-01
1.015625000000000000e-01,7.071385647500000315e-02,1.177635700500000021e-01,1.456015144250000226e-01
1.054687500000000000e-01,7.322679376249999206e-02,1.204095297249999919e-01,1.483555428375000207e-01
1.093750000000000000e-01,7.573973105000000872e-02,1.230554893999999955e-01,1.511095712500000188e-01
1.132812500000000000e-01,7.825266833750001150e-02,1.257014490749999991e-01,1.538635996624999891e-01
1.171875000000000000e-01,8.076560562500000040e-02,1.283474087500000027e-01,1.566176280749999872e-01
1.210937500000000000e-01,8.327854291250000318e-02,1.309933684250000341e-01,1.593716564875000130e-01
1.250000000000000000e-01,8.579148020000000596e-02,1.336393281000000099e-01,1.621256849000000111e-01
1.289062500000000000e-01,8.892618401250000637e-02,1.367066863249999931e-01,1.651471807499999833e-01
1.328125000000000000e-01,9.206088782499999290e-02,1.397740445500000039e-01,1.681686766000000111e-01
1.367187500000000000e-01,9.519559163750000719e-02,1.428414027750000148e-01,1.711901724499999833e-01
1.406250000000000000e-01,9.833029545000000760e-02,1.459087609999999979e-01,1.742116683000000110e-01
