input,R,G,B
0.000000000000000000e+00,3.795498400000000151e-03,3.700041789999999886e-02,5.240302830000000134e-02
3.906250000000000000e-03,5.395744074999999328e-03,4.040091746249999810e-02,5.589047978750000256e-02
7.812500000000000000e-03,6.995989749999998938e-03,4.380141702499999734e-02,5.937793127500000379e-02
1.171875000000000000e-02,8.596235424999997682e-03,4.720191658749999658e-02,6.286538276250000501e-02
1.562500000000000000e-02,1.019648109999999816e-02,5.060241615000000276e-02,6.635283424999999236e-02
1.953125000000000000e-02,1.179672677499999517e-02,5.400291571250000894e-02,6.984028573750000746e-02
2.343750000000000000e-02,1.339697244999999738e-02,5.740341527500000818e-02,7.332773722499999480e-02
2.734375000000000000e-02,1.499721812499999959e-02,6.080391483750000048e-02,7.681518871249999603e-02
3.125000000000000000e-02,1.659746380000000007e-02,6.420441440000000666e-02,8.030264019999999725e-02
3.515625000000000000e-02,1.929049879999999995e-02,6.760049048750001177e-02,8.377049144999998420e-02
3.906250000000000000e-02,2.198353379999999635e-02,7.099656657500000301e-02,8.723834269999999891e-02
4.296875000000000000e-02,2.467656879999999969e-02,7.439264266250000812e-02,9.070619394999999974e-02
4.687500000000000000e-02,2.736960380000000304e-02,7.778871874999998548e-02,9.417404520000000057e-02
5.078125000000000000e-02,3.006263879999999944e-02,8.118479483749999059e-02,9.764189645000000140e-02
5.468750000000000000e-02,3.275567379999999584e-02,8.458087092500000959e-02,1.011097477000000022e-01
5.859375000000000000e-02,3.544870879999999919e-02,8.797694701250000082e-02,1.045775989500000169e-01
6.250000000000000000e-02,3.814174380000000253e-02,9.137302310000000594e-02,1.080454502000000039e-01
6.640625000000000000e-02,4.163559618750000552e-02,9.492644391250000535e-02,1.116555441000000037e-01
7.031250000000000000e-02,4.512944857500000850e-02,9.847986472500000477e-02,1.152656380000000036e-01
7.421875000000000000e-02,4.862330096250000455e-02,1.020332855375000042e-01,1.188757319000000173e-01
7.812500000000000000e-02,5.211715335000000060e-02,1.055867063500000036e-01,1.224858258000000033e-01
8.203125000000000000e-02,5.561100573749999665e-02,1.091401271625000030e-01,1.260959197000000032e-01
8.593750000000000000e-02,5.910485812499999270e-02,1.126935479750000024e-01,1.297060136000000030e-01
8.984375000000000000e-02,6.259871051249998875e-02,1.162469687875000018e-01,1.333161075000000029e-01
9.375000000000000000e-02,6.609256289999999867e-02,1.198003896000000013e-01,1.369262014000000027e-01
9.765625000000000000e-02,6.984750452500000650e-02,1.235211060500000096e-01,1.405831873250000252e-01
1.015625000000000000e-01,7.360244615000000046e-02,1.272418225000000180e-01,1.442401732499999922e-01
1.054687500000000000e-01,7.735738777500000829e-02,1.309625389500000125e-01,1.478971591750000147e-01
1.093750000000000000e-01,8.111232940000001612e-02,1.346832554000000348e-01,1.515541450999999817e-01
1.132812500000000000e-01,8.486727102500001008e-02,1.384039718500000016e-01,1.552111310249999765e-01
1.171875000000000000e-01,8.862221265000000403e-02,1.421246882999999961e-01,1.588681169499999990e-01
1.210937500000000000e-01,9.237715427500001186e-02,1.458454047500000184e-01,1.625251028749999660e-01
