input,R,G,B
0.000000000000000000e+00,5.315508800000000311e-03,1.281597699999999923e-02,2.470395569999999860e-02
3.906250000000000000e-03,7.495775312500001231e-03,1.615504923750000002e-02,2.910195075000000103e-02
7.812500000000000000e-03,9.676041825000000415e-03,1.949412147500000081e-02,3.349994580000000000e-02
1.171875000000000000e-02,1.185630833750000307e-02,2.283319371249999813e-02,3.789794085000000590e-02
1.562500000000000000e-02,1.403657485000000052e-02,2.617226594999999892e-02,4.229593590000000486e-02
1.953125000000000000e-02,1.621684136249999797e-02,2.951133818749999971e-02,4.669393095000000382e-02
2.343750000000000000e-02,1.839710787499999889e-02,3.285041042499999703e-02,5.109192600000000278e-02
2.734375000000000000e-02,2.057737438750000328e-02,3.618948266250000129e-02,5.548992105000000868e-02
3.125000000000000000e-02,2.275764090000000073e-02,3.952855489999999861e-02,5.988791610000000071e-02
3.515625000000000000e-02,2.560799373750000107e-02,4.281547194999999612e-02,6.330090696250000037e-02
3.906250000000000000e-02,2.845834657500000142e-02,4.610238900000000056e-02,6.671389782500000698e-02
4.296875000000000000e-02,3.130869941249999483e-02,4.938930604999999807e-02,7.012688868749999971e-02
4.687500000000000000e-02,3.415905225000000212e-02,5.267622310000000252e-02,7.353987954999999244e-02
5.078125000000000000e-02,3.700940508749999552e-02,5.596314015000000697e-02,7.695287041250001292e-02
5.468750000000000000e-02,3.985975792499999587e-02,5.925005720000000448e-02,8.036586127500000565e-02
5.859375000000000000e-02,4.271011076249999622e-02,6.253697425000000198e-02,8.377885213749999838e-02
6.250000000000000000e-02,4.556046359999999656e-02,6.582389130000000643e-02,8.719184300000000498e-02
6.640625000000000000e-02,4.888552992499999722e-02,6.922104117499999765e-02,9.068437847499999371e-02
7.031250000000000000e-02,5.221059624999999094e-02,7.261819105000000274e-02,9.417691394999999632e-02
7.421875000000000000e-02,5.553566257499999159e-02,7.601534092500000783e-02,9.766944942500001281e-02
7.812500000000000000e-02,5.886072889999999919e-02,7.941249080000001292e-02,1.011619849000000015e-01
