input,R,G,B
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.906250000000000000e-03,6.200836624999999606e-04,6.203825750000000307e-04,6.208252249999999476e-04
7.812500000000000000e-03,1.240167324999999921e-03,1.240765150000000061e-03,1.241650449999999895e-03
1.171875000000000000e-02,1.860250987499999665e-03,1.861147724999999984e-03,1.862475674999999626e-03
1.562500000000000000e-02,2.480334649999999842e-03,2.481530300000000123e-03,2.483300899999999790e-03
1.953125000000000000e-02,3.100418312499999586e-03,3.101912875000000479e-03,3.104126124999999521e-03
2.343750000000000000e-02,3.720501974999999330e-03,3.722295449999999967e-03,3.724951349999999252e-03
2.734375000000000000e-02,4.340585637499999073e-03,4.342678025000000323e-03,4.345776574999998983e-03
3.125000000000000000e-02,4.960669299999999685e-03,4.963060600000000246e-03,4.966601799999999581e-03
3.515625000000000000e-02,6.519808037499999834e-03,6.536428037500000010e-03,6.561131824999999300e-03
3.906250000000000000e-02,8.078946774999998248e-03,8.109795475000000642e-03,8.155661849999999019e-03
4.296875000000000000e-02,9.638085512499998397e-03,9.683162912499999539e-03,9.750191874999999606e-03
4.687500000000000000e-02,1.119722425000000028e-02,1.125653035000000017e-02,1.134472189999999846e-02
5.078125000000000000e-02,1.275636298749999870e-02,1.282989778750000080e-02,1.293925192499999904e-02
5.468750000000000000e-02,1.431550172499999884e-02,1.440326522499999970e-02,1.453378194999999790e-02
5.859375000000000000e-02,1.587464046249999899e-02,1.597663266249999686e-02,1.612831197500000022e-02
6.250000000000000000e-02,1.743377919999999914e-02,1.755000010000000096e-02,1.772284199999999907e-02
6.640625000000000000e-02,2.062185774999999999e-02,2.103862457499999783e-02,2.165552652499999967e-02
7.031250000000000000e-02,2.380993630000000083e-02,2.452724905000000163e-02,2.558821105000000026e-02
7.421875000000000000e-02,2.699801484999999820e-02,2.801587352499999850e-02,2.952089557499999739e-02
7.812500000000000000e-02,3.018609339999999905e-02,3.150449799999999884e-02,3.345358009999999799e-02
8.203125000000000000e-02,3.337417194999999642e-02,3.499312247500000611e-02,3.738626462499999858e-02
8.593750000000000000e-02,3.656225049999999727e-02,3.848174694999999257e-02,4.131894914999999918e-02
8.984375000000000000e-02,3.975032904999999811e-02,4.197037142499999984e-02,4.525163367499999978e-02
9.375000000000000000e-02,4.293840759999999895e-02,4.545899590000000018e-02,4.918431820000000038e-02
9.765625000000000000e-02,4.564545727500000233e-02,4.913722402499999531e-02,5.429482825000000318e-02
1.015625000000000000e-01,4.835250694999999876e-02,5.281545215000000432e-02,5.940533829999999904e-02
1.054687500000000000e-01,5.105955662500000214e-02,5.649368027499999945e-02,6.451584834999998797e-02
1.093750000000000000e-01,5.376660630000000551e-02,6.017190839999999458e-02,6.962635840000000464e-02
1.132812500000000000e-01,5.647365597500000195e-02,6.385013652500000358e-02,7.473686844999999357e-02
1.171875000000000000e-01,5.918070564999999839e-02,6.752836465000000565e-02,7.984737849999999637e-02
1.210937500000000000e-01,6.188775532500000176e-02,7.120659277499999384e-02,8.495788854999999917e-02
1.250000000000000000e-01,6.459480500000000514e-02,7.488482089999999591e-02,9.006839860000000197e-02
1.289062500000000000e-01,6.731590662500000488e-02,7.887263907500000060e-02,9.592558896250000244e-02
1.328125000000000000e-01,7.003700825000000463e-02,8.286045725000000528e-02,1.017827793249999890e-01
1.367187500000000000e-01,7.275810987500000437e-02,8.684827542500000996e-02,1.076399696874999895e-01
1.406250000000000000e-01,7.547921150000000412e-02,9.083609360000000077e-02,1.134971600499999900e-01
1.445312500000000000e-01,7.820031312500000387e-02,9.482391177499999158e-02,1.193543504125000043e-01
1.484375000000000000e-01,8.092141475000000361e-02,9.881172994999999626e-02,1.252115407749999909e-01
1.523437500000000000e-01,8.364251637500000336e-02,1.027995481250000148e-01,1.310687311375000053e-01
1.562500000000000000e-01,8.636361800000000311e-02,1.067873663000000056e-01,1.369259214999999918e-01
1.601562500000000000e-01,8.930160227500000270e-02,1.109310259500000118e-01,1.428510569374999983e-01
1.640625000000000000e-01,9.223958655000000229e-02,1.150746856000000040e-01,1.487761923750000048e-01
1.679687500000000000e-01,9.517757082500000188e-02,1.192183452500000101e-01,1.547013278124999835e-01
1.718750000000000000e-01,9.811555510000000146e-02,1.233620049000000163e-01,1.606264632499999623e-01
1.757812500000000000e-01,1.010535393750000011e-01,1.275056645500000085e-01,1.665515986874999965e-01
1.796875000000000000e-01,1.039915236500000006e-01,1.316493242000000008e-01,1.724767341249999753e-01
1.835937500000000000e-01,1.069295079250000002e-01,1.357929838500000208e-01,1.784018695624999817e-01
1.875000000000000000e-01,1.098674921999999998e-01,1.399366435000000131e-01,1.843270049999999882e-01
1.914062500000000000e-01,1.134717175625000046e-01,1.441180843875000117e-01,1.893603078999999689e-01
1.953125000000000000e-01,1.170759429250000094e-01,1.482995252750000104e-01,1.943936107999999774e-01
1.992187500000000000e-01,1.206801682875000004e-01,1.524809661625000090e-01,1.994269136999999859e-01
2.031250000000000000e-01,1.242843936500000052e-01,1.566624070500000077e-01,2.044602165999999666e-01
2.070312500000000000e-01,1.278886190125000100e-01,1.608438479375000063e-01,2.094935195000000028e-01
2.109375000000000000e-01,1.314928443750000009e-01,1.650252888250000050e-01,2.145268224000000112e-01
2.148437500000000000e-01,1.350970697375000196e-01,1.692067297125000036e-01,2.195601253000000197e-01
2.187500000000000000e-01,1.387012951000000105e-01,1.733881706000000023e-01,2.245934282000000004e-01
2.226562500000000000e-01,1.432714327624999839e-01,1.776877499375000002e-01,2.284912024125000107e-01
2.265625000000000000e-01,1.478415704250000129e-01,1.819873292749999982e-01,2.323889766250000211e-01
2.304687500000000000e-01,1.524117080875000141e-01,1.862869086125000240e-01,2.362867508375000036e-01
2.343750000000000000e-01,1.569818457499999875e-01,1.905864879499999942e-01,2.401845250500000140e-01
2.382812500000000000e-01,1.615519834124999887e-01,1.948860672874999644e-01,2.440822992625000243e-01
