input,R,G,B
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.906250000000000000e-03,5.423190737499999914e-03,5.423190737499999914e-03,5.423190737499999914e-03
7.812500000000000000e-03,1.084638147499999983e-02,1.084638147499999983e-02,1.084638147499999983e-02
1.171875000000000000e-02,1.626957221249999974e-02,1.626957221249999627e-02,1.626957221249999974e-02
1.562500000000000000e-02,2.169276294999999966e-02,2.169276294999999966e-02,2.169276294999999966e-02
1.953125000000000000e-02,2.711595368749999957e-02,2.711595368749999610e-02,2.711595368749999957e-02
2.343750000000000000e-02,3.253914442499999948e-02,3.253914442499999254e-02,3.253914442499999948e-02
2.734375000000000000e-02,3.796233516249999940e-02,3.796233516249999940e-02,3.796233516249999940e-02
3.125000000000000000e-02,4.338552589999999931e-02,4.338552589999999931e-02,4.338552589999999931e-02
3.515625000000000000e-02,4.796092932499999156e-02,4.796092932499999850e-02,4.796092932499999850e-02
3.906250000000000000e-02,5.253633274999999769e-02,5.253633274999999769e-02,5.253633275000000463e-02
4.296875000000000000e-02,5.711173617500001076e-02,5.711173617500000382e-02,5.711173617499999688e-02
4.687500000000000000e-02,6.168713960000000301e-02,6.168713960000000301e-02,6.168713960000000301e-02
5.078125000000000000e-02,6.626254302499999527e-02,6.626254302500000914e-02,6.626254302500000914e-02
5.468750000000000000e-02,7.083794645000002221e-02,7.083794645000000834e-02,7.083794644999999446e-02
5.859375000000000000e-02,7.541334987500000753e-02,7.541334987499999365e-02,7.541334987500000753e-02
6.250000000000000000e-02,7.998875330000000672e-02,7.998875330000000672e-02,7.998875330000000672e-02
6.640625000000000000e-02,8.431406293750000336e-02,8.431406293750000336e-02,8.431406293750000336e-02
7.031250000000000000e-02,8.863937257500000000e-02,8.863937257500000000e-02,8.863937257500000000e-02
7.421875000000000000e-02,9.296468221249999664e-02,9.296468221249999664e-02,9.296468221249999664e-02
7.812500000000000000e-02,9.728999185000000716e-02,9.728999185000000716e-02,9.728999184999997940e-02
8.203125000000000000e-02,1.016153014875000038e-01,1.016153014875000038e-01,1.016153014875000038e-01
8.593750000000000000e-02,1.059406111250000004e-01,1.059406111250000004e-01,1.059406111250000004e-01
8.984375000000000000e-02,1.102659207624999971e-01,1.102659207624999971e-01,1.102659207624999971e-01
9.375000000000000000e-02,1.145912303999999937e-01,1.145912303999999937e-01,1.145912303999999937e-01
9.765625000000000000e-02,1.189760005624999895e-01,1.189760005624999895e-01,1.189760005624999895e-01
1.015625000000000000e-01,1.233607707249999991e-01,1.233607707249999852e-01,1.233607707249999991e-01
1.054687500000000000e-01,1.277455408874999809e-01,1.277455408875000087e-01,1.277455408875000087e-01
1.093750000000000000e-01,1.321303110499999767e-01,1.321303110500000044e-01,1.321303110500000044e-01
1.132812500000000000e-01,1.365150812125000002e-01,1.365150812124999724e-01,1.365150812125000002e-01
1.171875000000000000e-01,1.408998513749999959e-01,1.408998513749999959e-01,1.408998513749999959e-01
1.210937500000000000e-01,1.452846215374999916e-01,1.452846215374999639e-01,1.452846215374999916e-01
1.250000000000000000e-01,1.496693916999999874e-01,1.496693916999999874e-01,1.496693916999999874e-01
1.289062500000000000e-01,1.540088202999999878e-01,1.540088202999999878e-01,1.540088202999999600e-01
1.328125000000000000e-01,1.583482489000000160e-01,1.583482488999999604e-01,1.583482488999999882e-01
1.367187500000000000e-01,1.626876774999999886e-01,1.626876774999999886e-01,1.626876775000000164e-01
1.406250000000000000e-01,1.670271060999999890e-01,1.670271060999999890e-01,1.670271060999999890e-01
1.445312500000000000e-01,1.713665346999999894e-01,1.713665346999999894e-01,1.713665346999999617e-01
1.484375000000000000e-01,1.757059632999999621e-01,1.757059632999999899e-01,1.757059632999999899e-01
1.523437500000000000e-01,1.800453918999999903e-01,1.800453918999999903e-01,1.800453919000000180e-01
1.562500000000000000e-01,1.843848204999999907e-01,1.843848204999999907e-01,1.843848204999999907e-01
1.601562500000000000e-01,1.886799211875000160e-01,1.886799211874999882e-01,1.886799211874999882e-01
1.640625000000000000e-01,1.929750218749999857e-01,1.929750218749999857e-01,1.929750218749999857e-01
1.679687500000000000e-01,1.972701225624999832e-01,1.972701225624999832e-01,1.972701225624999832e-01
1.718750000000000000e-01,2.015652232499999807e-01,2.015652232499999807e-01,2.015652232499999807e-01
1.757812500000000000e-01,2.058603239375000060e-01,2.058603239375000060e-01,2.058603239375000060e-01
1.796875000000000000e-01,2.101554246250000035e-01,2.101554246250000035e-01,2.101554246250000035e-01
1.835937500000000000e-01,2.144505253124999733e-01,2.144505253125000011e-01,2.144505253125000011e-01
1.875000000000000000e-01,2.187456259999999986e-01,2.187456259999999986e-01,2.187456259999999986e-01
1.914062500000000000e-01,2.230041591249999899e-01,2.230041591250000177e-01,2.230041591249999899e-01
1.953125000000000000e-01,2.272626922500000091e-01,2.272626922500000091e-01,2.272626922499999813e-01
