input,R,G,B
0.000000000000000000e+00,6.123881200000000358e-03,3.626341009999999726e-02,9.356601000000000501e-02
3.906250000000000000e-03,7.511213050000000759e-03,3.917136631249999723e-02,9.672975118750000434e-02
7.812500000000000000e-03,8.898544900000001159e-03,4.207932252499999720e-02,9.989349237500000367e-02
1.171875000000000000e-02,1.028587675000000069e-02,4.498727873749999717e-02,1.030572335625000030e-01
1.562500000000000000e-02,1.167320860000000196e-02,4.789523495000000408e-02,1.062209747500000023e-01
1.953125000000000000e-02,1.306054045000000149e-02,5.080319116250000405e-02,1.093847159375000017e-01
2.343750000000000000e-02,1.444787230000000103e-02,5.371114737499999708e-02,1.125484571250000010e-01
2.734375000000000000e-02,1.583520414999999709e-02,5.661910358749999705e-02,1.157121983125000003e-01
3.125000000000000000e-02,1.722253600000000009e-02,5.952705979999999703e-02,1.188759394999999996e-01
3.515625000000000000e-02,1.942711253749999922e-02,6.248009201249999506e-02,1.220616809875000042e-01
3.906250000000000000e-02,2.163168907500000182e-02,6.543312422500000003e-02,1.252474224750000087e-01
4.296875000000000000e-02,2.383626561249999748e-02,6.838615643749999806e-02,1.284331639625000132e-01
4.687500000000000000e-02,2.604084214999999661e-02,7.133918864999999609e-02,1.316189054499999900e-01
5.078125000000000000e-02,2.824541868749999921e-02,7.429222086249999413e-02,1.348046469374999945e-01
5.468750000000000000e-02,3.044999522499999833e-02,7.724525307500000604e-02,1.379903884249999990e-01
5.859375000000000000e-02,3.265457176250000093e-02,8.019828528749999019e-02,1.411761299125000035e-01
6.250000000000000000e-02,3.485914829999999659e-02,8.315131750000000210e-02,1.443618714000000081e-01
6.640625000000000000e-02,3.777597123749999730e-02,8.621436767500000042e-02,1.476465221624999880e-01
7.031250000000000000e-02,4.069279417499999801e-02,8.927741784999999874e-02,1.509311729249999956e-01
7.421875000000000000e-02,4.360961711249999873e-02,9.234046802499999707e-02,1.542158236875000032e-01
7.812500000000000000e-02,4.652644004999999250e-02,9.540351820000000926e-02,1.575004744499999831e-01
8.203125000000000000e-02,4.944326298750000709e-02,9.846656837500000758e-02,1.607851252125000185e-01
8.593750000000000000e-02,5.236008592500000086e-02,1.015296185500000059e-01,1.640697759749999984e-01
8.984375000000000000e-02,5.527690886250000851e-02,1.045926687250000042e-01,1.673544267375000338e-01
9.375000000000000000e-02,5.819373180000000229e-02,1.076557189000000025e-01,1.706390775000000137e-01
9.765625000000000000e-02,6.163157823749999820e-02,1.107999079374999973e-01,1.734589225000000012e-01
1.015625000000000000e-01,6.506942467500000105e-02,1.139440969749999921e-01,1.762787674999999887e-01
1.054687500000000000e-01,6.850727111249999002e-02,1.170882860124999869e-01,1.790986125000000040e-01
1.093750000000000000e-01,7.194511754999999287e-02,1.202324750499999817e-01,1.819184575000000192e-01
1.132812500000000000e-01,7.538296398750000959e-02,1.233766640875000042e-01,1.847383025000000067e-01
1.171875000000000000e-01,7.882081042500001244e-02,1.265208531249999990e-01,1.875581475000000220e-01
1.210937500000000000e-01,8.225865686250001529e-02,1.296650421624999938e-01,1.903779925000000095e-01
1.250000000000000000e-01,8.569650330000000427e-02,1.328092311999999886e-01,1.931978374999999970e-01
1.289062500000000000e-01,8.892593358750000565e-02,1.358891264249999786e-01,1.961110088624999914e-01
1.328125000000000000e-01,9.215536387499999316e-02,1.389690216499999686e-01,1.990241802250000136e-01
1.367187500000000000e-01,9.538479416250000842e-02,1.420489168750000142e-01,2.019373515875000358e-01
1.406250000000000000e-01,9.861422444999999593e-02,1.451288121000000042e-01,2.048505229500000024e-01
1.445312500000000000e-01,1.018436547375000112e-01,1.482087073249999665e-01,2.077636943124999969e-01
1.484375000000000000e-01,1.050730850249999987e-01,1.512886025500000120e-01,2.106768656749999913e-01
1.523437500000000000e-01,1.083025153124999862e-01,1.543684977750000020e-01,2.135900370374999857e-01
1.562500000000000000e-01,1.115319456000000015e-01,1.574483929999999920e-01,2.165032084000000079e-01
1.601562500000000000e-01,1.148756885124999905e-01,1.604991883750000181e-01,2.191961623000000248e-01
1.640625000000000000e-01,1.182194314250000072e-01,1.635499837499999887e-01,2.218891161999999861e-01
1.679687500000000000e-01,1.215631743374999962e-01,1.666007791249999870e-01,2.245820701000000030e-01
1.718750000000000000e-01,1.249069172500000130e-01,1.696515745000000130e-01,2.272750239999999922e-01
1.757812500000000000e-01,1.282506601625000020e-01,1.727023698750000114e-01,2.299679779000000091e-01
1.796875000000000000e-01,1.315944030750000326e-01,1.757531652500000097e-01,2.326609318000000259e-01
1.835937500000000000e-01,1.349381459875000078e-01,1.788039606249999802e-01,2.353538856999999873e-01
1.875000000000000000e-01,1.382818889000000107e-01,1.818547560000000063e-01,2.380468396000000042e-01
1.914062500000000000e-01,1.418262967875000280e-01,1.849074818625000005e-01,2.404811768624999790e-01
1.953125000000000000e-01,1.453707046750000176e-01,1.879602077249999947e-01,2.429155141250000094e-01
1.992187500000000000e-01,1.489151125625000072e-01,1.910129335874999890e-01,2.453498513875000120e-01
2.031250000000000000e-01,1.524595204499999967e-01,1.940656594499999832e-01,2.477841886500000423e-01
2.070312500000000000e-01,1.560039283374999863e-01,1.971183853125000052e-01,2.502185259125000449e-01
2.109375000000000000e-01,1.595483362250000037e-01,2.001711111749999994e-01,2.526528631750000198e-01
2.148437500000000000e-01,1.630927441125000210e-01,2.032238370374999936e-01,2.550872004375000501e-01
2.187500000000000000e-01,1.666371520000000106e-01,2.062765628999999878e-01,2.575215377000000250e-01
2.226562500000000000e-01,1.703809706500000187e-01,2.093643631500000102e-01,2.597740986000000585e-01
2.265625000000000000e-01,1.741247893000000269e-01,2.124521633999999770e-01,2.620266594999999810e-01
2.304687500000000000e-01,1.778686079500000072e-01,2.155399636499999994e-01,2.642792204000000145e-01
2.343750000000000000e-01,1.816124265999999876e-01,2.186277638999999939e-01,2.665317812999999925e-01
2.382812500000000000e-01,1.853562452499999957e-01,2.217155641500000163e-01,2.687843422000000260e-01
2.421875000000000000e-01,1.891000639000000039e-01,2.248033644000000109e-01,2.710369031000000595e-01
2.460937500000000000e-01,1.928438825499999842e-01,2.278911646500000054e-01,2.732894639999999820e-01
2.500000000000000000e-01,1.965877011999999924e-01,2.309789649000000000e-01,2.755420249000000155e-01
2.539062500000000000e-01,2.005267989875000045e-01,2.341376376375000068e-01,2.776997621749999756e-01
2.578125000000000000e-01,2.044658967749999889e-01,2.372963103750000136e-01,2.798574994500000468e-01
2.617187500000000000e-01,2.084049945625000011e-01,2.404549831125000203e-01,2.820152367250000069e-01
2.656250000000000000e-01,2.123440923500000133e-01,2.436136558499999993e-01,2.841729740000000226e-01
2.695312500000000000e-01,2.162831901374999977e-01,2.467723285875000339e-01,2.863307112749999828e-01
2.734375000000000000e-01,2.202222879250000098e-01,2.499310013249999851e-01,2.884884485499999984e-01
2.773437500000000000e-01,2.241613857124999942e-01,2.530896740624999919e-01,2.906461858250000141e-01
2.812500000000000000e-01,2.281004835000000064e-01,2.562483468000000264e-01,2.928039230999999742e-01
2.851562500000000000e-01,2.322244466624999726e-01,2.595171826625000122e-01,2.949699930499999900e-01
2.890625000000000000e-01,2.363484098249999943e-01,2.627860185250000535e-01,2.971360629999999503e-01
2.929687500000000000e-01,2.404723729875000160e-01,2.660548543875000949e-01,2.993021329499999661e-01
2.968750000000000000e-01,2.445963361500000099e-01,2.693236902500000252e-01,3.014682029000000374e-01
3.007812500000000000e-01,2.487202993125000039e-01,2.725925261125000110e-01,3.036342728499999977e-01
3.046875000000000000e-01,2.528442624750000256e-01,2.758613619749999968e-01,3.058003428000000135e-01
3.085937500000000000e-01,2.569682256374999918e-01,2.791301978374999826e-01,3.079664127499999737e-01
3.125000000000000000e-01,2.610921888000000135e-01,2.823990337000000239e-01,3.101324826999999895e-01
3.164062500000000000e-01,2.653807478875000458e-01,2.858216773625000262e-01,3.124331496249999618e-01
3.203125000000000000e-01,2.696693069750000227e-01,2.892443210249999730e-01,3.147338165499999896e-01
3.242187500000000000e-01,2.739578660624999995e-01,2.926669646874999753e-01,3.170344834750000174e-01
3.281250000000000000e-01,2.782464251500000318e-01,2.960896083500000331e-01,3.193351503999999341e-01
3.320312500000000000e-01,2.825349842375000087e-01,2.995122520125000354e-01,3.216358173249999619e-01
3.359375000000000000e-01,2.868235433250000410e-01,3.029348956749999822e-01,3.239364842499999897e-01
3.398437500000000000e-01,2.911121024124999623e-01,3.063575393374999845e-01,3.262371511750000175e-01
3.437500000000000000e-01,2.954006614999999947e-01,3.097801829999999867e-01,3.285378180999999898e-01
3.476562500000000000e-01,2.998209058875000443e-01,3.134051574374999705e-01,3.311279564499999273e-01
3.515625000000000000e-01,3.042411502749999830e-01,3.170301318750000097e-01,3.337180948000000313e-01
3.554687500000000000e-01,3.086613946624999771e-01,3.206551063124999934e-01,3.363082331499999689e-01
3.593750000000000000e-01,3.130816390499999713e-01,3.242800807500000326e-01,3.388983715000000174e-01
3.632812500000000000e-01,3.175018834375000210e-01,3.279050551875000163e-01,3.414885098500000105e-01
3.671875000000000000e-01,3.219221278250000151e-01,3.315300296250000001e-01,3.440786481999999480e-01
3.710937500000000000e-01,3.263423722124999538e-01,3.351550040625000393e-01,3.466687865500000520e-01
3.750000000000000000e-01,3.307626166000000034e-01,3.387799785000000230e-01,3.492589248999999896e-01
3.789062500000000000e-01,3.352682938250000078e-01,3.426602804000000724e-01,3.523225800874999480e-01
3.828125000000000000e-01,3.397739710499999566e-01,3.465405823000000107e-01,3.553862352749999620e-01
3.867187500000000000e-01,3.442796482750000164e-01,3.504208842000000046e-01,3.584498904624999760e-01
3.906250000000000000e-01,3.487853255000000208e-01,3.543011861000000540e-01,3.615135456499999900e-01
3.945312500000000000e-01,3.532910027249999696e-01,3.581814879999999923e-01,3.645772008375000039e-01
3.984375000000000000e-01,3.577966799499999739e-01,3.620617899000000417e-01,3.676408560250000179e-01
4.023437500000000000e-01,3.623023571749999783e-01,3.659420917999999245e-01,3.707045112125000319e-01
4.062500000000000000e-01,3.668080343999999826e-01,3.698223936999999739e-01,3.737681663999999904e-01
4.101562500000000000e-01,3.713427437125000341e-01,3.740134853624999534e-01,3.775094991999999872e-01
4.140625000000000000e-01,3.758774530249999746e-01,3.782045770249999883e-01,3.812508320000000395e-01
4.179687500000000000e-01,3.804121623374999706e-01,3.823956686874999678e-01,3.849921648000000363e-01
4.218750000000000000e-01,3.849468716499999665e-01,3.865867603500000027e-01,3.887334976000000886e-01
4.257812500000000000e-01,3.894815809625000180e-01,3.907778520124999266e-01,3.924748303999999743e-01
4.296875000000000000e-01,3.940162902750000140e-01,3.949689436750000171e-01,3.962161631999999711e-01
4.335937500000000000e-01,3.985509995874999545e-01,3.991600353374999410e-01,3.999574960000000234e-01
4.375000000000000000e-01,4.030857089000000060e-01,4.033511269999999760e-01,4.036988288000000202e-01
4.414062500000000000e-01,4.077070479500000122e-01,4.078850982999999708e-01,4.081403526499999823e-01
4.453125000000000000e-01,4.123283870000000184e-01,4.124190695999999656e-01,4.125818764999999999e-01
4.492187500000000000e-01,4.169497260500000246e-01,4.169530408999999604e-01,4.170234003500000175e-01
4.531250000000000000e-01,4.215710650999999753e-01,4.214870121999999553e-01,4.214649241999999796e-01
4.570312500000000000e-01,4.261924041499999816e-01,4.260209835000000056e-01,4.259064480499999972e-01
4.609375000000000000e-01,4.308137431999999878e-01,4.305549548000000559e-01,4.303479718999999593e-01
4.648437500000000000e-01,4.354350822499999940e-01,4.350889260999999952e-01,4.347894957500000324e-01
4.687500000000000000e-01,4.400564213000000002e-01,4.396228973999999901e-01,4.392310195999999944e-01
4.726562500000000000e-01,4.449319898749999891e-01,4.441975865125000200e-01,4.435334649375000104e-01
4.765625000000000000e-01,4.498075584499999779e-01,4.487722756249999945e-01,4.478359102749999709e-01
4.804687500000000000e-01,4.546831270250000223e-01,4.533469647374999689e-01,4.521383556124999314e-01
4.843750000000000000e-01,4.595586956000000112e-01,4.579216538499999989e-01,4.564408009499999475e-01
4.882812500000000000e-01,4.644342641750000000e-01,4.624963429625000289e-01,4.607432462875000745e-01
4.921875000000000000e-01,4.693098327500000444e-01,4.670710320750000033e-01,4.650456916250000350e-01
4.960937500000000000e-01,4.741854013250000333e-01,4.716457211874999778e-01,4.693481369624999955e-01
5.000000000000000000e-01,4.790609699000000221e-01,4.762204103000000077e-01,4.736505823000000115e-01
5.039062500000000000e-01,4.839960006250000335e-01,4.806620946124999794e-01,4.776449870124999664e-01
5.078125000000000000e-01,4.889310313500000449e-01,4.851037789249999510e-01,4.816393917249999213e-01
5.117187500000000000e-01,4.938660620750000008e-01,4.895454632374999226e-01,4.856337964375000427e-01
5.156250000000000000e-01,4.988010928000000122e-01,4.939871475499999498e-01,4.896282011499999975e-01
5.195312500000000000e-01,5.037361235249999680e-01,4.984288318624999770e-01,4.936226058624999524e-01
5.234375000000000000e-01,5.086711542499999794e-01,5.028705161750000041e-01,4.976170105750000738e-01
5.273437500000000000e-01,5.136061849749999908e-01,5.073122004874999202e-01,5.016114152874999732e-01
5.312500000000000000e-01,5.185412157000000022e-01,5.117538847999999474e-01,5.056058199999999836e-01
5.351562500000000000e-01,5.234829567875001199e-01,5.160811732499999138e-01,5.093746599999999791e-01
5.390625000000000000e-01,5.284246978750000157e-01,5.204084616999999913e-01,5.131434999999999746e-01
5.429687500000000000e-01,5.333664389624999114e-01,5.247357501499999577e-01,5.169123399999999702e-01
5.468750000000000000e-01,5.383081800499999181e-01,5.290630386000001462e-01,5.206811799999999657e-01
5.507812500000000000e-01,5.432499211375000359e-01,5.333903270500000016e-01,5.244500199999999612e-01
5.546875000000000000e-01,5.481916622250000426e-01,5.377176154999999680e-01,5.282188599999999568e-01
5.585937500000000000e-01,5.531334033124998273e-01,5.420449039500000454e-01,5.319876999999999523e-01
5.625000000000000000e-01,5.580751443999999450e-01,5.463721924000000119e-01,5.357565399999999478e-01
5.664062500000000000e-01,5.629797009125000473e-01,5.506025478749999591e-01,5.393725945749999751e-01
5.703125000000000000e-01,5.678842574249999275e-01,5.548329033500001284e-01,5.429886491500000023e-01
5.742187500000000000e-01,5.727888139374999188e-01,5.590632588249999646e-01,5.466047037250000296e-01
5.781250000000000000e-01,5.776933704500000211e-01,5.632936143000001339e-01,5.502207583000000568e-01
5.820312500000000000e-01,5.825979269625000123e-01,5.675239697750000811e-01,5.538368128749999730e-01
5.859375000000000000e-01,5.875024834750000036e-01,5.717543252499999173e-01,5.574528674500000003e-01
