input,R,G,B
0.000000000000000000e+00,5.988999999999999961e-07,0.000000000000000000e+00,6.934000000000000019e-06
3.906250000000000000e-03,5.827349374999998399e-04,2.016297562499999932e-03,4.542144999999999169e-03
7.812500000000000000e-03,1.164870974999999715e-03,4.032595124999999864e-03,9.077355999999999966e-03
1.171875000000000000e-02,1.747007012499999590e-03,6.048892687499998928e-03,1.361256699999999903e-02
1.562500000000000000e-02,2.329143049999999465e-03,8.065190249999999728e-03,1.814777799999999983e-02
1.953125000000000000e-02,2.911279087499999557e-03,1.008148781249999792e-02,2.268298899999999715e-02
2.343750000000000000e-02,3.493415125000000083e-03,1.209778537499999786e-02,2.721819999999999795e-02
2.734375000000000000e-02,4.075551162499999741e-03,1.411408293749999779e-02,3.175341100000000222e-02
3.125000000000000000e-02,4.657687199999999833e-03,1.613038049999999946e-02,3.628862199999999955e-02
3.515625000000000000e-02,6.055614937500000336e-03,1.870237284999999930e-02,3.981338687500000223e-02
3.906250000000000000e-02,7.453542675000000839e-03,2.127436519999999914e-02,4.333815174999999797e-02
4.296875000000000000e-02,8.851470412499999607e-03,2.384635754999999899e-02,4.686291662500000066e-02
4.687500000000000000e-02,1.024939815000000184e-02,2.641834989999999883e-02,5.038768149999999640e-02
5.078125000000000000e-02,1.164732588750000061e-02,2.899034224999999868e-02,5.391244637500000603e-02
5.468750000000000000e-02,1.304525362499999938e-02,3.156233459999999852e-02,5.743721124999999483e-02
5.859375000000000000e-02,1.444318136249999988e-02,3.413432695000000183e-02,6.096197612500000446e-02
6.250000000000000000e-02,1.584110910000000039e-02,3.670631929999999821e-02,6.448674100000000020e-02
6.640625000000000000e-02,1.845619949999999926e-02,4.022276278749999795e-02,6.819104206249999856e-02
7.031250000000000000e-02,2.107128990000000160e-02,4.373920627499999769e-02,7.189534312499999691e-02
7.421875000000000000e-02,2.368638029999999700e-02,4.725564976249999050e-02,7.559964418750000914e-02
7.812500000000000000e-02,2.630147069999999934e-02,5.077209324999999718e-02,7.930394525000000749e-02
8.203125000000000000e-02,2.891656110000000168e-02,5.428853673750000386e-02,8.300824631249999197e-02
8.593750000000000000e-02,3.153165149999999362e-02,5.780498022499999666e-02,8.671254737500000420e-02
8.984375000000000000e-02,3.414674189999999249e-02,6.132142371249999641e-02,9.041684843750000256e-02
9.375000000000000000e-02,3.676183229999999830e-02,6.483786719999999615e-02,9.412114950000000091e-02
9.765625000000000000e-02,3.986676716249999697e-02,6.805983319999998893e-02,9.748571488750000513e-02
1.015625000000000000e-01,4.297170202499999564e-02,7.128179919999999559e-02,1.008502802749999955e-01
1.054687500000000000e-01,4.607663688749999431e-02,7.450376519999998837e-02,1.042148456624999997e-01
1.093750000000000000e-01,4.918157174999999992e-02,7.772573119999999502e-02,1.075794110499999900e-01
1.132812500000000000e-01,5.228650661249999165e-02,8.094769719999998780e-02,1.109439764374999943e-01
1.171875000000000000e-01,5.539144147500000420e-02,8.416966319999999446e-02,1.143085418249999985e-01
1.210937500000000000e-01,5.849637633750000981e-02,8.739162920000000112e-02,1.176731072124999888e-01
1.250000000000000000e-01,6.160131120000000154e-02,9.061359519999999390e-02,1.210376725999999931e-01
1.289062500000000000e-01,6.458651225000000551e-02,9.369737593749999371e-02,1.242417024499999911e-01
1.328125000000000000e-01,6.757171330000000253e-02,9.678115667499999353e-02,1.274457323000000031e-01
1.367187500000000000e-01,7.055691434999999956e-02,9.986493741249999334e-02,1.306497621499999873e-01
1.406250000000000000e-01,7.354211539999999658e-02,1.029487181500000070e-01,1.338537919999999715e-01
1.445312500000000000e-01,7.652731644999999361e-02,1.060324988875000068e-01,1.370578218499999834e-01
1.484375000000000000e-01,7.951251750000000451e-02,1.091162796250000067e-01,1.402618516999999954e-01
1.523437500000000000e-01,8.249771854999998766e-02,1.122000603625000065e-01,1.434658815499999795e-01
1.562500000000000000e-01,8.548291959999999856e-02,1.152838411000000063e-01,1.466699113999999915e-01
1.601562500000000000e-01,8.893806672499998678e-02,1.187977868875000065e-01,1.502608770375000180e-01
1.640625000000000000e-01,9.239321384999998887e-02,1.223117326750000067e-01,1.538518426749999890e-01
1.679687500000000000e-01,9.584836097500000485e-02,1.258256784624999791e-01,1.574428083124999878e-01
1.718750000000000000e-01,9.930350809999999306e-02,1.293396242500000071e-01,1.610337739500000143e-01
1.757812500000000000e-01,1.027586552249999952e-01,1.328535700374999795e-01,1.646247395875000130e-01
1.796875000000000000e-01,1.062138023500000111e-01,1.363675158250000075e-01,1.682157052250000118e-01
1.835937500000000000e-01,1.096689494750000132e-01,1.398814616125000354e-01,1.718066708624999828e-01
1.875000000000000000e-01,1.131240966000000014e-01,1.433954074000000078e-01,1.753976365000000093e-01
1.914062500000000000e-01,1.170829553875000067e-01,1.471547797625000209e-01,1.789626770499999908e-01
1.953125000000000000e-01,1.210418141749999982e-01,1.509141521249999784e-01,1.825277175999999724e-01
1.992187500000000000e-01,1.250006729625000035e-01,1.546735244874999915e-01,1.860927581500000094e-01
2.031250000000000000e-01,1.289595317499999949e-01,1.584328968500000046e-01,1.896577986999999910e-01
2.070312500000000000e-01,1.329183905374999863e-01,1.621922692125000176e-01,1.932228392500000003e-01
2.109375000000000000e-01,1.368772493249999778e-01,1.659516415750000029e-01,1.967878798000000373e-01
2.148437500000000000e-01,1.408361081125000247e-01,1.697110139374999882e-01,2.003529203500000189e-01
2.187500000000000000e-01,1.447949668999999884e-01,1.734703863000000013e-01,2.039179609000000004e-01
2.226562500000000000e-01,1.491365768874999831e-01,1.773439884624999907e-01,2.073098103625000133e-01
2.265625000000000000e-01,1.534781868749999778e-01,1.812175906250000079e-01,2.107016598249999983e-01
2.304687500000000000e-01,1.578197968625000003e-01,1.850911927875000251e-01,2.140935092874999834e-01
2.343750000000000000e-01,1.621614068499999950e-01,1.889647949500000146e-01,2.174853587499999685e-01
2.382812500000000000e-01,1.665030168374999897e-01,1.928383971125000040e-01,2.208772082125000091e-01
2.421875000000000000e-01,1.708446268250000122e-01,1.967119992749999935e-01,2.242690576749999942e-01
2.460937500000000000e-01,1.751862368124999791e-01,2.005856014374999829e-01,2.276609071374999793e-01
2.500000000000000000e-01,1.795278468000000016e-01,2.044592036000000002e-01,2.310527565999999922e-01
2.539062500000000000e-01,1.843138852249999737e-01,2.085530170874999867e-01,2.344199974875000037e-01
2.578125000000000000e-01,1.890999236500000291e-01,2.126468305750000287e-01,2.377872383749999874e-01
2.617187500000000000e-01,1.938859620750000012e-01,2.167406440625000152e-01,2.411544792624999989e-01
2.656250000000000000e-01,1.986720005000000011e-01,2.208344575500000295e-01,2.445217201499999826e-01
2.695312500000000000e-01,2.034580389250000010e-01,2.249282710374999883e-01,2.478889610374999941e-01
2.734375000000000000e-01,2.082440773500000009e-01,2.290220845249999748e-01,2.512562019249999778e-01
2.773437500000000000e-01,2.130301157750000285e-01,2.331158980125000169e-01,2.546234428124999893e-01
2.812500000000000000e-01,2.178161542000000006e-01,2.372097115000000034e-01,2.579906837000000008e-01
2.851562500000000000e-01,2.229261361750000114e-01,2.415084873124999920e-01,2.614274042499999395e-01
2.890625000000000000e-01,2.280361181500000223e-01,2.458072631250000084e-01,2.648641248000000448e-01
2.929687500000000000e-01,2.331461001249999776e-01,2.501060389374999415e-01,2.683008453499999835e-01
2.968750000000000000e-01,2.382560820999999884e-01,2.544048147499999857e-01,2.717375659000000332e-01
3.007812500000000000e-01,2.433660640749999993e-01,2.587035905625000298e-01,2.751742864500000274e-01
3.046875000000000000e-01,2.484760460499999546e-01,2.630023663750000185e-01,2.786110070000000216e-01
3.085937500000000000e-01,2.535860280249999654e-01,2.673011421875000071e-01,2.820477275500000158e-01
3.125000000000000000e-01,2.586960099999999763e-01,2.715999179999999957e-01,2.854844481000000100e-01
3.164062500000000000e-01,2.639484799625000377e-01,2.760757439125000046e-01,2.891276102249999980e-01
3.203125000000000000e-01,2.692009499249999882e-01,2.805515698249999579e-01,2.927707723499999859e-01
3.242187500000000000e-01,2.744534198874999942e-01,2.850273957374999667e-01,2.964139344750000293e-01
3.281250000000000000e-01,2.797058898500000002e-01,2.895032216499999755e-01,3.000570966000000173e-01
3.320312500000000000e-01,2.849583598125000061e-01,2.939790475625000399e-01,3.037002587250000052e-01
3.359375000000000000e-01,2.902108297750000121e-01,2.984548734750000487e-01,3.073434208500000486e-01
3.398437500000000000e-01,2.954632997374999626e-01,3.029306993875000020e-01,3.109865829750000366e-01
3.437500000000000000e-01,3.007157697000000240e-01,3.074065253000000109e-01,3.146297451000000245e-01
3.476562500000000000e-01,3.059269954125000135e-01,3.120385341750000485e-01,3.186370426250000332e-01
3.515625000000000000e-01,3.111382211250000029e-01,3.166705430499999752e-01,3.226443401499999863e-01
3.554687500000000000e-01,3.163494468374999924e-01,3.213025519250000128e-01,3.266516376749999950e-01
3.593750000000000000e-01,3.215606725499999818e-01,3.259345607999999395e-01,3.306589352000000037e-01
3.632812500000000000e-01,3.267718982625000268e-01,3.305665696749999771e-01,3.346662327250000124e-01
3.671875000000000000e-01,3.319831239750000162e-01,3.351985785500000148e-01,3.386735302500000211e-01
3.710937500000000000e-01,3.371943496875000057e-01,3.398305874249999414e-01,3.426808277749999743e-01
3.750000000000000000e-01,3.424055753999999951e-01,3.444625962999999791e-01,3.466881252999999830e-01
3.789062500000000000e-01,3.474223394125000031e-01,3.492270182999999695e-01,3.511795381374999692e-01
3.828125000000000000e-01,3.524391034250000665e-01,3.539914402999999599e-01,3.556709509749998999e-01
3.867187500000000000e-01,3.574558674375000189e-01,3.587558623000000058e-01,3.601623638124999971e-01
3.906250000000000000e-01,3.624726314500000268e-01,3.635202842999999961e-01,3.646537766499999833e-01
3.945312500000000000e-01,3.674893954624999792e-01,3.682847062999999865e-01,3.691451894874999695e-01
3.984375000000000000e-01,3.725061594749999871e-01,3.730491283000000324e-01,3.736366023250000667e-01
4.023437500000000000e-01,3.775229234874999951e-01,3.778135503000000228e-01,3.781280151624999974e-01
4.062500000000000000e-01,3.825396875000000030e-01,3.825779723000000132e-01,3.826194279999999837e-01
4.101562500000000000e-01,3.873842476250000111e-01,3.874177468250000200e-01,3.874540205624999456e-01
4.140625000000000000e-01,3.922288077500000192e-01,3.922575213500000268e-01,3.922886131249999631e-01
4.179687500000000000e-01,3.970733678750000273e-01,3.970972958750000337e-01,3.971232056875000360e-01
4.218750000000000000e-01,4.019179280000000354e-01,4.019370704000000405e-01,4.019577982499999980e-01
4.257812500000000000e-01,4.067624881249999880e-01,4.067768449249999918e-01,4.067923908124999599e-01
4.296875000000000000e-01,4.116070482499999961e-01,4.116166194499999986e-01,4.116269833750000329e-01
4.335937500000000000e-01,4.164516083750000042e-01,4.164563939750000054e-01,4.164615759375000503e-01
4.375000000000000000e-01,4.212961685000000123e-01,4.212961685000000123e-01,4.212961685000000123e-01
4.414062500000000000e-01,4.261294179250000314e-01,4.261294179249999758e-01,4.261294179250000314e-01
4.453125000000000000e-01,4.309626673499999949e-01,4.309626673500000504e-01,4.309626673499999949e-01
4.492187500000000000e-01,4.357959167750000140e-01,4.357959167750000140e-01,4.357959167749999585e-01
4.531250000000000000e-01,4.406291661999999221e-01,4.406291662000000331e-01,4.406291662000000331e-01
4.570312500000000000e-01,4.454624156249999967e-01,4.454624156249999967e-01,4.454624156250000522e-01
4.609375000000000000e-01,4.502956650500000157e-01,4.502956650499999602e-01,4.502956650500000157e-01
4.648437500000000000e-01,4.551289144749999793e-01,4.551289144750000348e-01,4.551289144749999793e-01
4.687500000000000000e-01,4.599621638999999984e-01,4.599621638999999984e-01,4.599621638999999984e-01
4.726562500000000000e-01,4.649994159749999967e-01,4.649994159749999967e-01,4.649994159749999967e-01
4.765625000000000000e-01,4.700366680499999950e-01,4.700366680499999950e-01,4.700366680499999950e-01
4.804687500000000000e-01,4.750739201249999932e-01,4.750739201249999932e-01,4.750739201249999932e-01
4.843750000000000000e-01,4.801111721999999915e-01,4.801111721999999915e-01,4.801111721999999915e-01
4.882812500000000000e-01,4.851484242749999898e-01,4.851484242749999898e-01,4.851484242749999898e-01
