input,R,G,B
0.000000000000000000e+00,2.000000000000000042e-02,2.000000000000000042e-02,2.000000000000000042e-02
3.906250000000000000e-03,2.512017824999999982e-02,2.512017824999999982e-02,2.512017824999999982e-02
7.812500000000000000e-03,3.024035650000000269e-02,3.024035649999999922e-02,3.024035649999999922e-02
1.171875000000000000e-02,3.536053474999999169e-02,3.536053474999999863e-02,3.536053474999999863e-02
1.562500000000000000e-02,4.048071300000000150e-02,4.048071300000000150e-02,4.048071300000000150e-02
1.953125000000000000e-02,4.560089124999999743e-02,4.560089125000000437e-02,4.560089124999999743e-02
2.343750000000000000e-02,5.072106950000000031e-02,5.072106950000000031e-02,5.072106949999999337e-02
2.734375000000000000e-02,5.584124774999998930e-02,5.584124775000000318e-02,5.584124774999999624e-02
3.125000000000000000e-02,6.096142599999999911e-02,6.096142599999999911e-02,6.096142599999999911e-02
3.515625000000000000e-02,6.588648040000000261e-02,6.588648040000000261e-02,6.588648040000000261e-02
3.906250000000000000e-02,7.081153479999999223e-02,7.081153480000000611e-02,7.081153479999999223e-02
4.296875000000000000e-02,7.573658919999999573e-02,7.573658919999999573e-02,7.573658919999999573e-02
4.687500000000000000e-02,8.066164359999999922e-02,8.066164359999999922e-02,8.066164359999999922e-02
5.078125000000000000e-02,8.558669800000000272e-02,8.558669800000000272e-02,8.558669800000000272e-02
5.468750000000000000e-02,9.051175240000000621e-02,9.051175239999999234e-02,9.051175239999999234e-02
5.859375000000000000e-02,9.543680679999999583e-02,9.543680679999999583e-02,9.543680679999999583e-02
6.250000000000000000e-02,1.003618611999999993e-01,1.003618611999999993e-01,1.003618611999999993e-01
6.640625000000000000e-02,1.050401337625000014e-01,1.050401337625000014e-01,1.050401337625000014e-01
7.031250000000000000e-02,1.097184063249999897e-01,1.097184063249999897e-01,1.097184063250000036e-01
7.421875000000000000e-02,1.143966788875000057e-01,1.143966788875000057e-01,1.143966788875000057e-01
7.812500000000000000e-02,1.190749514499999939e-01,1.190749514500000078e-01,1.190749514499999939e-01
8.203125000000000000e-02,1.237532240125000099e-01,1.237532240124999960e-01,1.237532240124999960e-01
8.593750000000000000e-02,1.284314965749999982e-01,1.284314965749999982e-01,1.284314965749999982e-01
8.984375000000000000e-02,1.331097691375000280e-01,1.331097691375000003e-01,1.331097691375000003e-01
9.375000000000000000e-02,1.377880417000000024e-01,1.377880417000000024e-01,1.377880417000000024e-01
9.765625000000000000e-02,1.422045320499999987e-01,1.422045320499999987e-01,1.422045320499999987e-01
1.015625000000000000e-01,1.466210223999999951e-01,1.466210223999999673e-01,1.466210223999999951e-01
1.054687500000000000e-01,1.510375127499999914e-01,1.510375127499999914e-01,1.510375127499999914e-01
1.093750000000000000e-01,1.554540030999999878e-01,1.554540031000000155e-01,1.554540031000000155e-01
1.132812500000000000e-01,1.598704934499999841e-01,1.598704934500000119e-01,1.598704934499999841e-01
1.171875000000000000e-01,1.642869837999999805e-01,1.642869838000000082e-01,1.642869838000000082e-01
1.210937500000000000e-01,1.687034741499999768e-01,1.687034741500000046e-01,1.687034741500000323e-01
1.250000000000000000e-01,1.731199645000000009e-01,1.731199645000000009e-01,1.731199645000000009e-01
1.289062500000000000e-01,1.773452105750000229e-01,1.773452105750000229e-01,1.773452105749999952e-01
1.328125000000000000e-01,1.815704566499999895e-01,1.815704566500000172e-01,1.815704566500000172e-01
1.367187500000000000e-01,1.857957027249999837e-01,1.857957027250000115e-01,1.857957027250000115e-01
1.406250000000000000e-01,1.900209487999999780e-01,1.900209488000000335e-01,1.900209488000000335e-01
1.445312500000000000e-01,1.942461948750000000e-01,1.942461948750000000e-01,1.942461948750000000e-01
1.484375000000000000e-01,1.984714409500000221e-01,1.984714409499999943e-01,1.984714409500000221e-01
1.523437500000000000e-01,2.026966870250000163e-01,2.026966870249999886e-01,2.026966870250000163e-01
1.562500000000000000e-01,2.069219331000000106e-01,2.069219331000000106e-01,2.069219331000000106e-01
1.601562500000000000e-01,2.109922698375000238e-01,2.109922698375000238e-01,2.109922698374999961e-01
1.640625000000000000e-01,2.150626065750000093e-01,2.150626065750000093e-01,2.150626065750000371e-01
1.679687500000000000e-01,2.191329433125000226e-01,2.191329433124999948e-01,2.191329433124999948e-01
1.718750000000000000e-01,2.232032800500000080e-01,2.232032800500000080e-01,2.232032800500000080e-01
1.757812500000000000e-01,2.272736167874999935e-01,2.272736167875000213e-01,2.272736167875000213e-01
1.796875000000000000e-01,2.313439535250000068e-01,2.313439535250000068e-01,2.313439535249999790e-01
1.835937500000000000e-01,2.354142902624999922e-01,2.354142902624999922e-01,2.354142902625000200e-01
1.875000000000000000e-01,2.394846270000000055e-01,2.394846270000000055e-01,2.394846270000000055e-01
1.914062500000000000e-01,2.434346734500000276e-01,2.434346734499999998e-01,2.434346734499999998e-01
1.953125000000000000e-01,2.473847199000000219e-01,2.473847198999999941e-01,2.473847199000000219e-01
1.992187500000000000e-01,2.513347663499999607e-01,2.513347663500000162e-01,2.513347663500000162e-01
2.031250000000000000e-01,2.552848127999999828e-01,2.552848128000000383e-01,2.552848128000000383e-01
2.070312500000000000e-01,2.592348592500000604e-01,2.592348592500000048e-01,2.592348592500000048e-01
2.109375000000000000e-01,2.631849056999999714e-01,2.631849057000000269e-01,2.631849057000000269e-01
2.148437500000000000e-01,2.671349521499999935e-01,2.671349521499999935e-01,2.671349521499999935e-01
2.187500000000000000e-01,2.710849986000000156e-01,2.710849986000000156e-01,2.710849986000000156e-01
