label,reference,candidate,rgb_mae_255,max_channel_p95_255,delta_e00_mean,delta_e00_p95,chroma_delta_e00_mean,chroma_delta_e00_p95,lightness_mae,neutral_luma_mae_255,neutral_colour_cast_mae_255
Canopy,1_Everyday/Kodak2383.cube,Canopy.cube,27.650964811444638,57.900998853,9.682601727399339,16.162932069433847,5.155201702151674,9.073285862454375,9.623247780060488,30.60404265926144,6.744759984862355
Canopy,4_Variant/BleachBypassBright.cube,Canopy.cube,35.11002179671973,82.60847225580002,12.036188964040853,20.78073513083664,5.6577674307869055,12.285518127563245,12.35865048595838,41.585830701209964,12.49971094106761
Canopy,3_Distinct/FilmBox.cube,Canopy.cube,32.84997929799654,82.91481252269999,11.274170745051592,18.37756245630839,7.018487926498797,13.566005594225384,9.981578577527234,25.14997656266241,6.614907708972518
DuskTide,4_Variant/BleachBypassBright.cube,DuskTide.cube,27.92219962720242,88.491388158,10.006668715732884,16.331027085003484,6.163368643607557,11.891920762900968,8.675389917277803,30.70415675385156,13.808198780943092
DuskTide,1_Everyday/Kodak2383.cube,DuskTide.cube,23.49045472793772,54.08447562420001,8.887608792200721,14.200643137388703,6.616354323453624,12.727519401044596,6.022545358087239,19.471266112276723,11.69727517308414
DuskTide,4_Variant/Vintage-Kodak2393.cube,DuskTide.cube,30.77899909966436,66.58804945859998,11.226917573862108,15.678119347771903,7.741068317692896,13.909259780815429,8.76744040057592,26.646111091119586,8.973231866004863
Fieldnote,1_Everyday/Kodak2383.cube,Fieldnote.cube,33.274387463219725,69.90449072369998,10.717830228424551,17.503265723716495,4.42717796204973,9.137869545112439,11.941865141518212,33.07182620832768,10.09366766479961
Fieldnote,4_Variant/Vintage-Kodak2393.cube,Fieldnote.cube,42.92821353183564,90.04056012389992,13.391180298690381,18.654468256553734,5.257871553002476,10.342720669528562,15.005809881863852,40.234406485628554,5.2239599989392005
Fieldnote,1_Everyday/FujiEterna.cube,Fieldnote.cube,50.285956914396195,98.9185153677,16.06489055869956,23.203151630661754,5.645509533996423,10.19017902869246,17.811454696295414,46.24008158415573,11.453127898109678
Heartland,1_Everyday/Kodak2383.cube,Heartland.cube,32.86400294564706,65.1254353353,11.188498274523235,17.90572852731185,5.077238573211664,10.904135131908882,11.786794673000673,32.76340562548068,10.329054286058604
Heartland,4_Variant/Vintage-Kodak2393.cube,Heartland.cube,40.18013777458131,74.80631810610001,13.60620100568148,18.624484832029058,5.818622480012019,10.497158973857108,14.84537025018826,39.925985902781555,7.4703690358942065
Heartland,2_Strong/Kodak3513.cube,Heartland.cube,62.33236122174222,108.8042248383,21.179378204463923,28.178252622485132,7.484163311373727,12.690257325825451,23.295271639214665,54.01464749769189,12.062792073961575
Lowsun,1_Everyday/Kodak2383.cube,Lowsun.cube,23.56432801984775,51.09537753779996,8.791462158850436,14.343493349505753,5.6025218495046225,9.673765094287232,7.591514752688076,23.61081703709442,6.553206889828307
Lowsun,4_Variant/Vintage-Kodak2393.cube,Lowsun.cube,29.388707661712804,71.39768442149996,11.404517052941113,16.983404966645978,6.7226575246868885,12.520371268227704,10.64597529755344,30.87022257796259,4.173633289384728
Lowsun,4_Variant/BleachBypassBright.cube,Lowsun.cube,30.164822196628027,86.41014997619999,11.651438913970377,18.42911836150649,7.115547279940743,12.274850883369119,10.50215631244672,35.11712123298354,9.208875387199903
Matinee,1_Everyday/Kodak2383.cube,Matinee.cube,22.681093905048442,49.7659229151,8.277672070224812,13.493321873665657,5.026216323182219,9.168053232210463,7.403533562693864,21.19098097080813,9.571140325466441
Matinee,4_Variant/Vintage-Kodak2393.cube,Matinee.cube,31.41225162795848,70.88508169259998,11.020171267518316,16.132354745057533,6.014027664908226,11.316806643789208,10.61439654067321,29.22147805081558,7.775848920493191
Matinee,2_Strong/Kodak3513.cube,Matinee.cube,52.89054594879066,96.26409371939997,17.66493281333148,24.293852133803544,6.6185221671761285,10.907426548046244,18.861061453454948,43.53035249190684,6.768887853340709
Meridian,4_Variant/BleachBypassBright.cube,Meridian.cube,41.44355785925779,80.81436401279998,13.853554663748268,22.10430268374293,5.35132284999712,10.225812975829587,14.911891518739202,45.296273438948305,18.044607342204266
Meridian,1_Everyday/Kodak2383.cube,Meridian.cube,35.292591247965404,70.5134179941,12.282287622883064,19.334746796788018,6.319540734257603,10.7831786853443,12.202119491717871,33.953515385082966,12.306302357261663
Meridian,4_Variant/Vintage-Kodak2393.cube,Meridian.cube,43.01678928407266,79.34705733869998,15.208372873627585,20.112483857092887,8.000578209441363,12.647856420988996,15.267114091913102,41.289654576568935,12.22018761458316
NightMarket,1_Everyday/Kodak2383.cube,NightMarket.cube,24.654604139891,59.48701110749999,8.829802567224103,14.451300705360751,5.809870038576063,9.913679785925442,7.723676970221969,23.523690011317107,12.374780367304961
NightMarket,3_Distinct/FilmBox.cube,NightMarket.cube,30.398391084432525,78.1896711111,10.055787470343462,15.92972516166846,6.113467565881203,12.874777369891623,8.500286474644573,18.00835131943066,8.396616533091683
NightMarket,4_Variant/BleachBypassBright.cube,NightMarket.cube,33.81239403711418,81.85949163119999,11.361144687584325,17.8248888155606,6.372756022517639,11.928506725956712,10.485198760707366,34.40004254476876,17.139371205125485
Postcard,4_Variant/BleachBypassBright.cube,Postcard.cube,29.02770430369031,73.7092008684,10.290424990116183,18.373518240191576,5.51724698078688,11.338316425513778,9.810984748163982,36.9037890340355,16.797843174892996
Postcard,1_Everyday/Kodak2383.cube,Postcard.cube,21.737548973612455,55.69126475339998,8.836318902099752,14.065465824234566,6.403840413023915,12.367035829954117,6.714456061883865,24.224926099224746,11.342169563371112
Postcard,3_Distinct/FilmBox.cube,Postcard.cube,26.31370345647578,77.05240685189999,10.601393126403526,17.97059861712091,7.402340267513602,15.487038235163167,8.310392727281938,19.561279093056243,7.430814390035751
Skylight,4_Variant/BleachBypassBright.cube,Skylight.cube,37.56133094744118,72.52894393559998,13.145313252413342,20.687145724246168,5.268695527499693,10.864551174917464,14.065376738222783,44.01825092182378,18.044607342204266
Skylight,1_Everyday/Kodak2383.cube,Skylight.cube,32.33412657022492,69.2526660375,11.849612864363596,19.078988213318777,6.415646213228443,11.391251038488058,11.398114482799663,33.175220335184136,12.306302357261663
Skylight,3_Distinct/FilmBox.cube,Skylight.cube,34.53533907041695,79.0951098009,12.743199013905588,18.968516757243524,7.638235680424493,15.143448858337392,11.48672504701683,27.734652258103946,11.023318544959864
